FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,age
Jason MacDonald,190.5,185 lbs.,80,Orthodox,1975-06-03,1656.0
Rob MacDonald,190.5,205 lbs.,78,Orthodox,1978-09-05,1434.0
Rory MacDonald,182.88,170 lbs.,76,Orthodox,1989-07-22,1090.0
Ryan MacDonald,180.34,135 lbs.,71,Switch,1993-03-18,1382.0
Clayton MacFarlane,,170 lbs.,,,,
Ilima Macfarlane,162.56,125 lbs.,,,,
Valesca Machado,162.56,115 lbs.,63,Orthodox,1996-05-06,
Caio Machado,193.04,250 lbs.,78,Southpaw,1994-07-20,1530.0
Ian Machado Garry,190.5,170 lbs.,74,Orthodox,1997-11-17,1329.0
Lyoto Machida,185.42,185 lbs.,74,Southpaw,1978-05-30,1694.0
War Machine,180.34,170 lbs.,,Orthodox,1981-11-30,1381.0
Anthony Macias,175.26,185 lbs.,,Switch,,
Pauline Macias,162.56,115 lbs.,64,Southpaw,1988-06-27,
Reza Madadi,180.34,155 lbs.,73,Orthodox,1978-06-20,1790.0
Don Madge,182.88,155 lbs.,72,Southpaw,1990-11-12,1458.0
Ryan Madigan,182.88,170 lbs.,,Orthodox,,
Victor Madrigal,170.18,135 lbs.,71,Orthodox,1990-08-16,
Jon Madsen,182.88,240 lbs.,72,Orthodox,1980-02-12,1555.0
Mark Madsen,172.72,155 lbs.,72,Orthodox,1984-09-23,1925.0
Yoshiro Maeda,170.18,139 lbs.,68,Southpaw,1981-10-31,
Leonardo Mafra,177.8,155 lbs.,70,Orthodox,1989-04-25,1208.0
Vinny Magalhaes,190.5,205 lbs.,75,Orthodox,1984-07-02,1275.0
Vinicius Magalhaes,,145 lbs.,,,1971-07-30,
Caio Magalhaes,185.42,185 lbs.,73,Orthodox,1987-12-14,1277.0
Bernardo Magalhaes,175.26,155 lbs.,,Orthodox,1981-04-08,1610.0
Eric Magana,,--,,,,
Brandon Magana,,170 lbs.,,Orthodox,,
Angela Magana,154.94,115 lbs.,65,Orthodox,1983-08-02,1636.0
Neil Magny,190.5,170 lbs.,80,Orthodox,1987-08-03,1333.0
Raimond Magomedaliev,185.42,170 lbs.,75,Orthodox,1990-06-10,
Ibragim Magomedov,182.88,250 lbs.,,Orthodox,,
Rashid Magomedov,175.26,155 lbs.,70,Orthodox,1984-11-29,1522.0
Ruslan Magomedov,190.5,242 lbs.,78,Orthodox,1986-11-26,1435.0
Abus Magomedov,187.96,185 lbs.,78,Orthodox,1990-09-02,1712.0
Shara Magomedov,187.96,185 lbs.,73,Orthodox,1994-05-16,1535.0
Murtazali Magomedov,175.26,145 lbs.,70,Orthodox,1999-08-26,
Zabit Magomedsharipov,185.42,145 lbs.,73,Orthodox,1991-03-01,1383.0
John Maguire,175.26,155 lbs.,69,Southpaw,1983-05-19,1508.0
Lolohea Mahe,,--,,,,
Michelle Maher,,145 lbs.,,,,
Maheshate,182.88,155 lbs.,71,Orthodox,1999-12-01,1202.0
Bill Mahood,190.5,200 lbs.,,Orthodox,1967-02-01,2000.0
Klayton Mai,175.26,125 lbs.,,,1986-11-30,
Demian Maia,185.42,170 lbs.,72,Southpaw,1977-11-06,1659.0
Jennifer Maia,162.56,125 lbs.,64,Orthodox,1988-10-06,1553.0
Nayara Maia,165.1,125 lbs.,66,Orthodox,1990-07-25,
Roshan Mainam,,135 lbs.,,,,
Levan Makashvili,172.72,145 lbs.,68,Orthodox,1989-01-07,1375.0
John Makdessi,172.72,155 lbs.,68,Orthodox,1985-05-03,1336.0
Islam Makhachev,177.8,170 lbs.,70,Southpaw,1991-10-27,1248.0
Aliev Makhmud,167.64000000000001,195 lbs.,,Southpaw,1970-02-13,
Zach Makovsky,162.56,125 lbs.,64,Southpaw,1983-04-19,1599.0
Azat Maksum,170.18,125 lbs.,70,Southpaw,1995-02-02,1484.0
Jeremy Malaterre,180.34,155 lbs.,,,,
Fabio Maldonado,185.42,205 lbs.,75,Orthodox,1980-03-17,1595.0
Marvin Maldonado,167.64000000000001,135 lbs.,,,,
Bea Malecki,175.26,135 lbs.,74,Orthodox,1991-08-23,1490.0
Nazareno Malegarie,172.72,155 lbs.,,,1986-05-16,1529.0
Carl Malenko,180.34,200 lbs.,,Orthodox,,
Jacob Malkoun,175.26,185 lbs.,73,Orthodox,1995-08-26,1338.0
Mike Malott,185.42,170 lbs.,73,Orthodox,1991-11-07,1587.0
Regina Malpica Rivera,,135 lbs.,,,2004-10-19,
Dan Manasoiu,,--,,,,
Troy Mandaloniz,175.26,170 lbs.,,Orthodox,1980-02-01,1516.0
Nate Maness,177.8,125 lbs.,72,Orthodox,1991-06-27,1518.0
Michael Mangan,,155 lbs.,,,,
Gary Mangat,170.18,135 lbs.,,,,
George Mangos,177.8,145 lbs.,70,Switch,2003-08-19,
Melvin Manhoef,175.26,185 lbs.,,Orthodox,1976-05-11,
Melchor Manibusan,165.1,154 lbs.,,Southpaw,1976-12-27,
Jon Manley,185.42,170 lbs.,,Orthodox,1986-07-07,1389.0
Steve Mann,185.42,170 lbs.,,,,
Marnic Mann,152.4,115 lbs.,64,Southpaw,1993-03-05,1593.0
Dylan Mantello,185.42,155 lbs.,73,Orthodox,1992-11-19,
Chris Manuel,175.26,135 lbs.,,Orthodox,1987-07-21,
Jimi Manuwa,185.42,205 lbs.,79,Orthodox,1980-02-18,1701.0
Dom Mar Fan,180.34,155 lbs.,75,Orthodox,2000-03-19,
Cristiano Marcello,175.26,155 lbs.,72,Orthodox,1977-12-03,1799.0
Daniel Marcos,170.18,135 lbs.,69,Orthodox,1993-03-07,1558.0
Jose Maria,165.1,125 lbs.,,Orthodox,1982-01-04,1647.0
Marcos Mariano,185.42,155 lbs.,76,Switch,1986-10-12,1686.0
Enrique Marin,177.8,170 lbs.,,,1986-09-02,1524.0
Chepe Mariscal,170.18,145 lbs.,69,Orthodox,1992-10-27,1599.0
Ronny Markes,185.42,185 lbs.,75,Orthodox,1988-04-21,1242.0
Rory Markham,182.88,170 lbs.,71,Orthodox,1982-03-25,1404.0
Randa Markos,162.56,115 lbs.,63,Orthodox,1985-08-10,1530.0
Christina Marks,170.18,125 lbs.,69,Orthodox,1985-11-08,1673.0
Brendon Marotte,175.26,145 lbs.,70,Orthodox,1996-01-12,1448.0
Nate Marquardt,182.88,185 lbs.,74,Orthodox,1979-04-20,1472.0
Danilo Marques,198.12,205 lbs.,77,Orthodox,1985-12-26,1813.0
Julian Marquez,187.96,185 lbs.,72,Orthodox,1990-05-08,1469.0
Carmelo Marrero,182.88,205 lbs.,73,Orthodox,1981-01-26,1352.0
Cesar Marscucci,,--,,,,
John Marsh,182.88,265 lbs.,,Orthodox,1970-09-15,1804.0
CJ Marsh,,--,,,,
Eliot Marshall,187.96,205 lbs.,77,Orthodox,1980-07-07,1601.0
Doug Marshall,177.8,205 lbs.,,Orthodox,1975-09-09,
David Marshall,187.96,170 lbs.,,,1984-08-24,
Francis Marshall,175.26,145 lbs.,72,Orthodox,1999-03-03,1239.0
Jack Marshman,182.88,185 lbs.,73,Orthodox,1989-12-19,1404.0
Terry Martin,172.72,185 lbs.,71,Orthodox,1980-10-10,1297.0
Eric Martin,,--,,,,
Justin Martin,182.88,185 lbs.,,,,
Dave Martin,182.88,205 lbs.,,,,
Joe Martin,175.26,170 lbs.,,,,
Anthony Rocco Martin,182.88,170 lbs.,73,Orthodox,1989-12-11,1288.0
Mallory Martin,162.56,115 lbs.,63,Orthodox,1994-01-29,1349.0
Michal Martinek,187.96,230 lbs.,,Southpaw,1990-04-19,
Rainy Martinez,182.88,199 lbs.,,Orthodox,,
Danny Martinez,167.64000000000001,125 lbs.,67,Orthodox,1985-06-14,1494.0
Alonzo Martinez,177.8,155 lbs.,,,1984-04-22,
Henry Martinez,170.18,155 lbs.,69,Southpaw,1983-08-07,1486.0
Jonathan Martinez,172.72,135 lbs.,70,Southpaw,1994-04-20,1279.0
Poppies Martinez,175.26,145 lbs.,,,1983-08-19,
Andrew Martinez,175.26,215 lbs.,,,,
Mana Martinez,177.8,135 lbs.,70,Orthodox,1996-03-25,1326.0
Victor Martinez,172.72,155 lbs.,70,Orthodox,1991-07-17,1649.0
Roque Martinez,177.8,250 lbs.,72,Orthodox,1986-03-04,1801.0
Melissa Martinez,157.48000000000002,115 lbs.,66,Southpaw,1997-08-18,1455.0
Julieta Martinez,154.94,115 lbs.,62,Orthodox,2004-09-14,
David Martinez,165.1,135 lbs.,67,Orthodox,1998-08-03,1414.0
Wagner da Conceicao Martins,200.66,390 lbs.,,Orthodox,1978-05-19,
Adriano Martins,177.8,155 lbs.,72,Southpaw,1982-12-16,1623.0
Lucas Martins,182.88,145 lbs.,72,Southpaw,1988-11-11,1262.0
Max Martyniouk,,155 lbs.,,,,
Bristol Marunde,185.42,170 lbs.,75,Orthodox,1982-04-20,1632.0
Shoji Maruyama,170.18,139 lbs.,,Orthodox,1983-04-24,
Kazuma Maruyama,180.34,155 lbs.,72,Orthodox,1992-07-19,
Islem Masraf,182.88,205 lbs.,74,Southpaw,1996-06-07,
Mike Massenzio,187.96,185 lbs.,73,Southpaw,1982-11-01,1364.0
Jameel Massouh,177.8,145 lbs.,72,Orthodox,1984-09-12,
Tiffany Masters,160.02,115 lbs.,65,Orthodox,1994-07-31,
Jorge Masvidal,180.34,170 lbs.,74,Orthodox,1984-11-12,1483.0
Al Matavao,172.72,205 lbs.,67,Orthodox,1994-02-23,
Tateki Matsuda,170.18,125 lbs.,,Orthodox,1986-02-27,1488.0
Arisa Matsuda,160.02,115 lbs.,64,Orthodox,1994-12-15,
Daijiro Matsui,175.26,200 lbs.,,Orthodox,1972-12-05,
Toki Matsui,167.64000000000001,125 lbs.,65,Orthodox,1999-09-08,
Koichiro Matsumoto,170.18,145 lbs.,,,1986-03-07,
Jean Matsumoto,167.64000000000001,135 lbs.,68,Orthodox,1999-09-09,1282.0
Koyomi Matsushima,170.18,145 lbs.,66,Orthodox,1992-10-08,
Naoki Matsushita,167.64000000000001,155 lbs.,,Orthodox,,
AJ Matthews,180.34,185 lbs.,,,,
Jake Matthews,180.34,170 lbs.,73,Orthodox,1994-08-19,1244.0
Connor Matthews,172.72,145 lbs.,71,Switch,1992-05-31,1660.0
Claudio Mattos,,185 lbs.,,Orthodox,,
John Matua,187.96,400 lbs.,,Orthodox,,
Francesco Maturi,,--,,,,
Vladimir Matyushenko,182.88,205 lbs.,74,Orthodox,1971-01-04,1603.0
Miranda Maverick,160.02,125 lbs.,65,Southpaw,1997-07-01,1216.0
Nick Maximov,182.88,185 lbs.,76,Southpaw,1997-12-23,1239.0
Elaina Maxwell,172.72,145 lbs.,,Orthodox,1978-12-16,
Jeremy May,185.42,185 lbs.,,,1986-10-23,
Jack May,203.2,255 lbs.,,Switch,1981-04-14,1722.0
Don'Tale Mayes,198.12,260 lbs.,81,Orthodox,1992-01-16,1449.0
Gray Maynard,175.26,155 lbs.,70,Orthodox,1979-05-09,1633.0
Brooke Mayo,170.18,125 lbs.,,,,
Gina Mazany,167.64000000000001,125 lbs.,68,Southpaw,1988-08-19,1487.0
Sabina Mazo,170.18,125 lbs.,70,Orthodox,1997-03-25,1248.0
Francesco Mazzeo,190.5,205 lbs.,75,Orthodox,1997-09-23,
Scott McAfee,172.72,155 lbs.,,Orthodox,1983-08-23,
Bobby McAndrews,,--,,Orthodox,,
Michael McBride,185.42,155 lbs.,,Orthodox,1986-03-09,1591.0
Ian McCall,165.1,125 lbs.,64,Orthodox,1984-05-07,1451.0
Molly McCann,162.56,115 lbs.,62,Orthodox,1990-05-04,1464.0
Charles McCarthy,177.8,185 lbs.,71,Orthodox,1980-08-06,1295.0
Eric McConico,182.88,185 lbs.,77,Southpaw,1990-05-09,1815.0
Sean McCorkle,200.66,265 lbs.,81,Orthodox,1976-07-17,1784.0
Danni McCormack,162.56,125 lbs.,62,Southpaw,1990-03-15,
Paddy McCorry,190.5,185 lbs.,73,Switch,1997-12-09,
Kris McCray,182.88,170 lbs.,76,Orthodox,1981-09-24,1499.0
Tamdan McCrory,193.04,185 lbs.,76,Switch,1986-11-05,1097.0
Rob McCullough,175.26,155 lbs.,69,Orthodox,1977-05-26,
Justin McCully,185.42,225 lbs.,73,Orthodox,1976-02-18,1689.0
Robert McDaniel,190.5,185 lbs.,75,Southpaw,1983-05-03,1582.0
Scott McDonald,,--,,,,
Michael McDonald,175.26,135 lbs.,70,Orthodox,1991-01-15,1109.0
Josh McDonald,,185 lbs.,,,,
Miles McDonald,170.18,115 lbs.,,,1991-08-13,
Justin McElfresh,198.12,205 lbs.,,Orthodox,1980-01-04,
Drew McFedries,182.88,185 lbs.,72,Southpaw,1978-07-27,1492.0
Liam McGeary,198.12,205 lbs.,,,1982-10-04,
Gan McGee,208.28,265 lbs.,,Orthodox,1976-11-20,1400.0
Court McGee,180.34,170 lbs.,75,Orthodox,1984-12-12,1767.0
Marcus McGhee,172.72,135 lbs.,69,Orthodox,1990-05-07,1720.0
Ryan McGillivray,180.34,170 lbs.,,,1986-09-27,1288.0
Ryan McGivern,182.88,185 lbs.,,Orthodox,1980-01-17,
Jack McGlaughlin,,--,,Orthodox,,
Conor McGregor,175.26,155 lbs.,74,Southpaw,1988-07-14,1290.0
Greg McIntyre,177.8,155 lbs.,,Orthodox,1980-04-21,
Antonio McKee,172.72,155 lbs.,,Southpaw,1970-03-12,2129.0
AJ McKee,177.8,145 lbs.,,,,
Rhys McKee,187.96,170 lbs.,78,Orthodox,1995-09-10,1297.0
Cory McKenna,160.02,115 lbs.,58,Orthodox,1999-07-11,1113.0
Tim McKenzie,182.88,185 lbs.,74,Orthodox,1982-07-21,1393.0
Cody McKenzie,182.88,155 lbs.,72,Switch,1987-12-16,1281.0
Terrance McKinney,177.8,155 lbs.,73,Switch,1994-09-15,1395.0
Brian McLaughlin,175.26,155 lbs.,,,1984-05-12,
Jason McLean,165.1,145 lbs.,,,,
Garreth McLellan,185.42,185 lbs.,72,Southpaw,1982-09-01,1701.0
Sara McMann,167.64000000000001,135 lbs.,66,Orthodox,1980-09-24,1743.0
Tommy McMillen,182.88,145 lbs.,74,Orthodox,1997-12-15,
James McSweeney,193.04,230 lbs.,77,Switch,1980-10-24,1519.0
Charles McTorry,,--,,,,
Jackson McVey,193.04,185 lbs.,77,Southpaw,1999-03-25,1373.0
Daniel McWilliams,185.42,185 lbs.,,,,
Tim Means,187.96,170 lbs.,75,Orthodox,1984-02-20,1535.0
Yancy Medeiros,177.8,155 lbs.,75,Orthodox,1987-09-07,1337.0
Anistavio Medeiros,167.64000000000001,145 lbs.,,Orthodox,1988-05-01,1259.0
Kaline Medeiros,160.02,115 lbs.,,,,
MarQuel Mederos,177.8,155 lbs.,69,Orthodox,1996-11-30,1418.0
Uros Medic,185.42,170 lbs.,71,Southpaw,1993-04-25,1516.0
Todd Medina,177.8,193 lbs.,,Southpaw,,
Jason Medina,175.26,180 lbs.,,,,
Emil Meek,180.34,170 lbs.,74,Switch,1988-08-20,1477.0
Sanford Alton Meeks,195.57999999999998,265 lbs.,75,Orthodox,1994-04-05,
Gerald Meerschaert,185.42,185 lbs.,77,Southpaw,1987-12-18,1512.0
Frank Megallon,177.8,185 lbs.,,Southpaw,,
Derrick Mehmen,193.04,205 lbs.,,,1985-05-30,
Miika Mehmet,,205 lbs.,,Orthodox,,
Jordan Mein,182.88,170 lbs.,73,Orthodox,1989-10-10,1222.0
Bryce Mejia,185.42,170 lbs.,,,,
Brian Melancon,172.72,170 lbs.,,Orthodox,1982-05-28,1623.0
Brandon Melendez,180.34,155 lbs.,,Southpaw,1983-03-24,1265.0
Gilbert Melendez,175.26,145 lbs.,73,Orthodox,1982-04-12,1618.0
Nair Melikyan,167.64000000000001,155 lbs.,,,1997-08-08,
Marcelo Mello,170.18,170 lbs.,,Southpaw,,
Fabio Mello,165.1,155 lbs.,,Southpaw,,
Vanessa Melo,165.1,135 lbs.,65,Orthodox,1988-03-27,1642.0
Antonio Mendes,190.5,205 lbs.,77,Southpaw,1981-04-19,1413.0
Chad Mendes,167.64000000000001,145 lbs.,66,Orthodox,1985-05-01,1393.0
Augusto Mendes,167.64000000000001,135 lbs.,65,Orthodox,1983-03-03,1720.0
Eddie Mendez,177.8,185 lbs.,,,1984-01-16,1533.0
Mateus Mendonca,167.64000000000001,125 lbs.,71,Orthodox,1999-01-17,1251.0
Luis Mendoza,,155 lbs.,,,,
Pietro Menga,170.18,125 lbs.,68,Southpaw,1988-02-15,
Alonzo Menifield,182.88,205 lbs.,76,Orthodox,1987-10-18,1715.0
Ivan Menjivar,167.64000000000001,145 lbs.,64,Orthodox,1982-05-30,1150.0
Dave Menne,177.8,170 lbs.,,Orthodox,1974-07-29,1432.0
Steve Mensing,180.34,185 lbs.,,Orthodox,1977-12-06,
Buck Meredith,187.96,185 lbs.,,,1982-05-17,
Adam Meredith,187.96,170 lbs.,,,,
Nick Meregali,,--,,,,
Joe Merritt,182.88,170 lbs.,,Orthodox,1984-03-07,1633.0
Bia Mesquita,,135 lbs.,,Orthodox,1991-04-07,
Jeremiah Metcalf,185.42,185 lbs.,,Orthodox,,
Jonathan Meunier,190.5,170 lbs.,,Switch,1987-08-04,1506.0
Yaotzin Meza,175.26,145 lbs.,71,Orthodox,1981-02-04,1662.0
Guy Mezger,185.42,200 lbs.,,Orthodox,1968-01-01,
David Mgoyan,175.26,145 lbs.,70,Orthodox,2004-06-25,
Jonathan Micallef,182.88,170 lbs.,77,Southpaw,1999-03-05,1353.0
Brandon Michaels,175.26,185 lbs.,,,,
Andreas Michailidis,182.88,170 lbs.,76,Orthodox,1988-07-18,1669.0
David Michaud,175.26,155 lbs.,,Orthodox,1988-11-10,1380.0
Chris Mickle,175.26,145 lbs.,,Orthodox,1983-07-10,
Zachary Micklewright,182.88,155 lbs.,74,Southpaw,1976-08-21,
Kristof Midoux,185.42,220 lbs.,,Orthodox,1974-07-30,1672.0
Keith Mielke,172.72,185 lbs.,,,,
Chris Mierzwiak,185.42,185 lbs.,,,1988-02-14,
Gabriel Miglioli,172.72,170 lbs.,,,,
Bojan Mihajlovic,180.34,205 lbs.,73,Orthodox,1980-03-30,1894.0
Billy Miles,177.8,170 lbs.,,Orthodox,1978-04-28,1545.0
Pat Miletich,177.8,170 lbs.,,Orthodox,1968-03-09,1729.0
Curtis Millender,187.96,170 lbs.,76,Orthodox,1987-12-01,1576.0
Phillip Miller,180.34,185 lbs.,,Orthodox,1979-02-20,1220.0
Jason Miller,185.42,185 lbs.,,Orthodox,1980-12-24,1268.0
Dan Miller,185.42,185 lbs.,74,Orthodox,1981-06-30,1455.0
Jim Miller,172.72,155 lbs.,71,Southpaw,1983-08-30,1331.0
Cole Miller,185.42,145 lbs.,73,Orthodox,1984-04-26,1238.0
Henry Miller,170.18,270 lbs.,,Southpaw,1969-07-16,
Micah Miller,182.88,145 lbs.,,Orthodox,1987-02-14,
Aaron Miller,175.26,145 lbs.,,,,
Mo Miller,172.72,135 lbs.,72,Orthodox,1992-08-10,
Juliana Miller,170.18,125 lbs.,66,Orthodox,1996-05-07,1369.0
Ty Miller,187.96,170 lbs.,77,Orthodox,2000-06-04,
Trent Miller,175.26,185 lbs.,72,Orthodox,1995-10-31,
Eddy Millis,185.42,185 lbs.,,,,
Che Mills,185.42,170 lbs.,76,Orthodox,1982-09-29,1518.0
Adam Milstead,190.5,205 lbs.,76,Orthodox,1987-07-03,1508.0
Alberto Mina,182.88,170 lbs.,77,Orthodox,1982-05-02,1751.0
Vitaly Minakov,187.96,249 lbs.,,,1985-02-06,
Mario Mingaj,,185 lbs.,,,,
Darrick Minner,170.18,145 lbs.,69,Orthodox,1990-04-28,1557.0
Mike Minniger,,--,,,,
Ikuhisa Minowa,175.26,181 lbs.,,Orthodox,1976-01-12,
Carlton Minus,177.8,170 lbs.,75,Orthodox,1993-04-26,1442.0
Stipe Miocic,193.04,240 lbs.,80,Orthodox,1982-08-19,1520.0
Frank Mir,190.5,264 lbs.,79,Southpaw,1979-05-24,1207.0
Juan Miranda,,155 lbs.,,,,
Mario Miranda,190.5,185 lbs.,74,Orthodox,1979-07-12,1602.0
Vitor Miranda,185.42,185 lbs.,77,Orthodox,1979-03-10,1942.0
Gabriel Miranda,180.34,145 lbs.,71,Orthodox,1990-03-25,1692.0
Damir Mirenic,182.88,185 lbs.,,Orthodox,1974-08-02,
Kazuo Misaki,172.72,183 lbs.,,Orthodox,1976-04-25,
Toby Misech,172.72,145 lbs.,,Southpaw,1988-03-07,
Dokonjonosuke Mishima,170.18,155 lbs.,,Southpaw,1972-04-19,1804.0
Felix Lee Mitchell,,--,,Orthodox,,
David Mitchell,182.88,170 lbs.,75,Orthodox,1979-10-24,1612.0
Danny Mitchell,187.96,170 lbs.,,Orthodox,1986-08-08,1439.0
Brad Mitchell,180.34,145 lbs.,,,1974-10-10,
Clay Mitchell,187.96,185 lbs.,,,,
Bryce Mitchell,177.8,135 lbs.,70,Southpaw,1994-10-04,1239.0
Maurice Mitchell,175.26,145 lbs.,,Orthodox,1987-06-29,
Terrence Mitchell,177.8,135 lbs.,74,Orthodox,1989-12-30,1749.0
Roman Mitichyan,177.8,170 lbs.,,Orthodox,1978-09-04,1543.0
Matt Mitrione,190.5,265 lbs.,82,Switch,1978-07-15,1660.0
Eiji Mitsuoka,170.18,145 lbs.,,Southpaw,1976-01-01,1886.0
Hiromitsu Miura,175.26,170 lbs.,71,Orthodox,1981-09-22,
JonathanMix,182.88,168 lbs.,,,1980-11-09,
Patchy Mix,172.72,135 lbs.,72,Southpaw,1993-08-16,1659.0
Tomoya Miyashita,170.18,139 lbs.,,Southpaw,,
Kazuyuki Miyata,172.72,139 lbs.,,Orthodox,,
Motoki Miyazawa,180.34,168 lbs.,,Southpaw,,
Takeya Mizugaki,170.18,135 lbs.,69,Orthodox,1983-12-16,1437.0
Mizuki,160.02,115 lbs.,65,Orthodox,1994-08-19,1306.0
Tatsuya Mizuno,185.42,205 lbs.,,Southpaw,1981-06-02,
Roxanne Modafferi,170.18,125 lbs.,69,Orthodox,1982-09-24,1836.0
Bobby Moffett,177.8,145 lbs.,73,Orthodox,1990-06-01,1484.0
Bronson Mohika,,135 lbs.,,,,
Nate Mohr,175.26,155 lbs.,72,Orthodox,1983-03-03,1257.0
Renato Moicano,180.34,155 lbs.,72,Orthodox,1989-05-21,1334.0
Thiago Moises,175.26,155 lbs.,70,Orthodox,1995-03-23,1233.0
Muhammad Mokaev,170.18,125 lbs.,70,Orthodox,2000-07-30,1211.0
Ashkan Mokhtarian,167.64000000000001,125 lbs.,67,Southpaw,1985-09-15,1655.0
Suman Mokhtarian,172.72,145 lbs.,72,Orthodox,1992-06-13,1436.0
Dan Molina,177.8,216 lbs.,,,1984-06-14,
Jeff Molina,167.64000000000001,125 lbs.,69,Orthodox,1997-07-17,1240.0
Rudyard Moncayo,177.8,195 lbs.,,Orthodox,,
Hidetaka Monma,182.88,168 lbs.,,Orthodox,1973-10-23,
Jeff Monson,175.26,247 lbs.,74,Orthodox,1971-01-18,1616.0
Darrell Montague,167.64000000000001,125 lbs.,67,Southpaw,1987-11-03,1354.0
Michelle Montague,175.26,135 lbs.,68,Southpaw,1993-11-25,1661.0
Andrew Montanez,,185 lbs.,,,,
Jose Montanha,,265 lbs.,,,1996-08-25,
Augusto Montano,185.42,170 lbs.,73,Orthodox,1984-10-25,1568.0
Erick Montano,182.88,170 lbs.,73,Orthodox,1985-11-19,1565.0
Nicco Montano,165.1,135 lbs.,65,Southpaw,1988-12-16,1595.0
Antonio Monteiro,170.18,145 lbs.,70,Orthodox,1995-07-02,
Sofia Montenegro,167.64000000000001,125 lbs.,67,Orthodox,1999-06-18,
Alberto Montes,170.18,145 lbs.,69,Orthodox,1994-05-31,
Steve Montgomery,193.04,185 lbs.,,Southpaw,1990-12-19,1299.0
James Moontasri,177.8,170 lbs.,71,Switch,1988-04-10,1367.0
Homer Moore,177.8,205 lbs.,,Orthodox,1971-11-27,1561.0
Todd Moore,175.26,170 lbs.,71,Southpaw,1983-12-30,
Nate Moore,182.88,170 lbs.,,,,
Dustin Moore,162.56,125 lbs.,,,,
Taylor Moore,177.8,135 lbs.,70,Southpaw,1993-10-16,
Sergio Moraes,182.88,170 lbs.,72,Orthodox,1982-07-23,1561.0
Marlon Moraes,167.64000000000001,135 lbs.,67,Orthodox,1988-04-26,1518.0
Sheymon Moraes,172.72,145 lbs.,72,Orthodox,1990-10-11,1415.0
John Moraga,167.64000000000001,125 lbs.,66,Orthodox,1984-03-20,1501.0
Ricardo Morais,203.2,270 lbs.,,Orthodox,1967-02-26,
Leonardo Morales,172.72,135 lbs.,,Southpaw,1992-12-22,1142.0
Albert Morales,175.26,135 lbs.,72,Orthodox,1991-05-25,1321.0
Joseph Morales,167.64000000000001,125 lbs.,69,Switch,1994-08-22,1223.0
Vince Morales,170.18,135 lbs.,70,Orthodox,1990-11-12,1462.0
Omar Morales,180.34,155 lbs.,73,Orthodox,1985-10-17,1783.0
Michael Morales,182.88,170 lbs.,79,Orthodox,1999-06-24,1253.0
Sarah Moras,170.18,135 lbs.,67,Orthodox,1988-04-30,1419.0
Christian Morecraft,198.12,260 lbs.,81,Orthodox,1986-09-08,1247.0
Joe Moreira,180.34,195 lbs.,,Southpaw,,
Richardson Moreira,187.96,185 lbs.,,Orthodox,1984-03-31,1574.0
Gisele Moreira,167.64000000000001,135 lbs.,,Orthodox,1981-01-14,
Vinicius Moreira,193.04,205 lbs.,76,Orthodox,1989-02-28,1559.0
Jesse Moreng,170.18,145 lbs.,,Orthodox,1979-11-09,
Brandon Moreno,170.18,125 lbs.,70,Orthodox,1993-12-07,1190.0
Mike Moreno,182.88,185 lbs.,,,,
Dan Moret,182.88,155 lbs.,73,Southpaw,1986-11-21,1638.0
Sammy Morgan,177.8,170 lbs.,,Orthodox,1981-09-28,1257.0
Peggy Morgan,185.42,135 lbs.,,,1979-12-16,1771.0
Alexander Morgan,177.8,145 lbs.,71,Orthodox,1991-05-14,
Alex Morono,180.34,170 lbs.,72,Orthodox,1990-08-16,1324.0
Maryna Moroz,170.18,125 lbs.,67,Orthodox,1991-09-08,1230.0
Sergey Morozov,167.64000000000001,135 lbs.,67,Orthodox,1989-06-14,1649.0
Brad Morris,187.96,205 lbs.,,Orthodox,1979-11-01,1485.0
Scott Morris,177.8,210 lbs.,,Orthodox,,
Anthony Morrison,170.18,145 lbs.,,Orthodox,1984-03-29,
Jack Morrison,180.34,205 lbs.,,,,
Harry Moskowitz,195.57999999999998,275 lbs.,,Orthodox,,
Carlos Mota,162.56,125 lbs.,69,Orthodox,1995-04-15,1437.0
Miki Motono,157.48000000000002,115 lbs.,63,Southpaw,1994-05-18,
Juan Mott,182.88,190 lbs.,,Switch,,
Nikolas Motta,175.26,155 lbs.,70,Orthodox,1993-02-08,1514.0
Flavio Luiz Moura,180.34,183 lbs.,,Open Stance,,
Eduarda Moura,167.64000000000001,125 lbs.,67,Orthodox,1994-02-28,1602.0
Gegard Mousasi,187.96,185 lbs.,76,Orthodox,1985-08-01,1489.0
Kris Moutinho,170.18,135 lbs.,68,Southpaw,1992-08-09,1508.0
Kin Moy,165.1,135 lbs.,,,,
Jamie Moyle,154.94,115 lbs.,65,Orthodox,1989-03-17,1446.0
Askar Mozharov,190.5,205 lbs.,74,Orthodox,1994-10-26,1440.0
Garrett Mueller,175.26,135 lbs.,,,1989-01-29,
Lauren Mueller,165.1,125 lbs.,67,Orthodox,1991-11-15,1378.0
Belal Muhammad,180.34,170 lbs.,72,Orthodox,1988-07-09,1460.0
Fazlo Mulabitinovic,,135 lbs.,,,,
Quinn Mulhern,190.5,155 lbs.,,Orthodox,1984-09-20,1486.0
James Mulheron,177.8,243 lbs.,73,Orthodox,1988-02-20,1534.0
